# Time (s),X (m),Y (m),Z (m),Vx (m/s),Vy (m/s),Vz (m/s),Ax (m/s²),Ay (m/s²),Az (m/s²)
0.000000,0.000000,0.000000,892.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001108,-0.000000,0.000000,892.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000
0.002217,0.000000,-0.000000,892.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000
0.004433,0.000000,0.000000,892.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000
0.006650,-0.000000,-0.000000,892.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000
0.008867,0.000000,-0.000000,892.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
0.009392,-0.000000,-0.000000,892.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000
0.009918,0.000000,-0.000000,892.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000
0.010969,0.000000,-0.000000,892.000000,0.000082,-0.000037,0.000858,0.156277,-0.070748,1.632142
0.012021,0.000000,-0.000000,892.000004,0.000536,-0.000243,0.005596,0.706687,-0.319922,7.380572
0.013072,0.000001,-0.000001,892.000015,0.001568,-0.000710,0.016378,1.257110,-0.569103,13.129145
0.023586,0.000240,-0.000108,892.002502,0.043730,-0.019797,0.456713,6.763101,-3.061704,70.633227
0.034100,0.001226,-0.000555,892.012799,0.143816,-0.065106,1.502000,12.275629,-5.557265,128.205582
0.040089,0.002335,-0.001057,892.024388,0.226747,-0.102650,2.368130,15.420278,-6.980870,161.048013
0.042805,0.003011,-0.001363,892.031443,0.270576,-0.122492,2.825871,16.847815,-7.627126,175.957081
0.044583,0.003519,-0.001593,892.036751,0.301067,-0.136295,3.144322,17.446944,-7.898356,182.214335
0.046036,0.003975,-0.001799,892.041511,0.326363,-0.147747,3.408507,17.374559,-7.865587,181.458352
0.047489,0.004467,-0.002022,892.046654,0.351553,-0.159151,3.671593,17.302145,-7.832804,180.702063
0.048942,0.004996,-0.002262,892.052179,0.376639,-0.170507,3.933580,17.229681,-7.800000,179.945261
0.051848,0.006163,-0.002790,892.064365,0.426493,-0.193076,4.454255,17.084696,-7.734364,178.431052
0.054753,0.007474,-0.003384,892.078058,0.475926,-0.215455,4.970529,16.939635,-7.668693,176.916041
0.057659,0.008928,-0.004042,892.093245,0.524937,-0.237643,5.482398,16.794411,-7.602950,175.399341
0.059198,0.009756,-0.004417,892.101889,0.550721,-0.249315,5.751685,16.717469,-7.568117,174.595757
0.060737,0.010623,-0.004809,892.110946,0.576387,-0.260935,6.019735,16.640505,-7.533275,173.791956
0.062276,0.011530,-0.005220,892.120414,0.601934,-0.272500,6.286548,16.563519,-7.498423,172.987918
0.065353,0.013461,-0.006094,892.140582,0.652914,-0.295579,6.818973,16.597061,-7.513608,173.338227
0.068431,0.015549,-0.007039,892.162390,0.704119,-0.318760,7.353753,16.688399,-7.554957,174.292160
0.071508,0.017795,-0.008056,892.185849,0.755620,-0.342074,7.891625,16.779803,-7.596337,175.246775
0.074586,0.020200,-0.009145,892.210968,0.807402,-0.365517,8.432435,16.871266,-7.637742,176.202000
0.075202,0.020703,-0.009373,892.216225,0.817798,-0.370223,8.541009,16.889568,-7.646028,176.393143
0.075817,0.021213,-0.009603,892.221549,0.828205,-0.374934,8.649700,16.907872,-7.654314,176.584311
0.076433,0.021729,-0.009837,892.226940,0.838623,-0.379651,8.758509,16.926179,-7.662602,176.775506
0.077048,0.022252,-0.010074,892.232398,0.849053,-0.384372,8.867436,16.944488,-7.670891,176.966732
0.077664,0.022781,-0.010313,892.237923,0.859494,-0.389099,8.976481,16.962800,-7.679181,177.157981
0.078895,0.023852,-0.010798,892.249108,0.880358,-0.398544,9.194376,16.932694,-7.665551,176.843549
0.080126,0.024949,-0.011294,892.260560,0.901168,-0.407965,9.411723,16.877481,-7.640556,176.266914
0.081357,0.026071,-0.011802,892.272280,0.921911,-0.417356,9.628360,16.822242,-7.615549,175.690001
0.093667,0.038674,-0.017508,892.403903,1.125595,-0.509565,11.755610,16.268941,-7.365066,169.911375
0.094645,0.039782,-0.018009,892.415477,1.141501,-0.516766,11.921733,16.271948,-7.366427,169.942779
0.095622,0.040905,-0.018518,892.427213,1.157422,-0.523973,12.088010,16.299229,-7.378777,170.227696
0.096600,0.042045,-0.019034,892.439111,1.173369,-0.531193,12.254565,16.326515,-7.391130,170.512677
0.098555,0.044370,-0.020087,892.463398,1.205345,-0.545668,12.588513,16.381109,-7.415845,171.082852
0.100510,0.046758,-0.021168,892.488339,1.237427,-0.560192,12.923576,16.435742,-7.440578,171.653429
0.102466,0.049209,-0.022277,892.513936,1.269616,-0.574764,13.259754,16.490391,-7.465317,172.224176
0.109261,0.058219,-0.026356,892.608033,1.382258,-0.625758,14.436180,16.664005,-7.543914,174.037386
0.113489,0.064211,-0.029069,892.670617,1.452399,-0.657511,15.168721,16.515670,-7.476762,172.488193
0.117717,0.070499,-0.031915,892.736284,1.521911,-0.688980,15.894709,16.367169,-7.409534,170.937257
0.121944,0.077079,-0.034894,892.805006,1.590796,-0.720165,16.614135,16.218506,-7.342233,169.384637
0.130400,0.091110,-0.041246,892.951545,1.727467,-0.782037,18.041510,16.144349,-7.308662,168.610145
0.138856,0.106295,-0.048120,893.110135,1.864113,-0.843897,19.468629,16.196677,-7.332351,169.156658
0.147312,0.122637,-0.055519,893.280811,2.001282,-0.905995,20.901209,16.246504,-7.354908,169.677048
0.155768,0.140140,-0.063442,893.463612,2.138634,-0.968175,22.335700,16.229195,-7.347072,169.496270
0.165910,0.162666,-0.073640,893.698870,2.303142,-1.042649,24.053808,16.208340,-7.337631,169.278459
0.176053,0.186859,-0.084593,893.951543,2.467431,-1.117024,25.769630,16.187381,-7.328143,169.059568
0.186196,0.212718,-0.096299,894.221607,2.631507,-1.191302,27.483227,16.166330,-7.318613,168.839712
0.196338,0.240240,-0.108758,894.509044,2.795449,-1.265520,29.195418,16.163975,-7.317547,168.815115
0.212196,0.286606,-0.129748,894.993284,3.052381,-1.381835,31.878793,16.258530,-7.360353,169.802648
0.228054,0.337057,-0.152588,895.520196,3.310954,-1.498893,34.579312,16.353289,-7.403251,170.792298
0.235964,0.363760,-0.164677,895.799078,3.440501,-1.557539,35.932287,16.400661,-7.424696,171.287041
0.239882,0.377504,-0.170899,895.942487,3.508008,-1.588108,36.603825,17.230477,-7.802393,171.404180
0.243800,0.391513,-0.177241,896.088530,3.575600,-1.618716,37.276326,17.252332,-7.812311,171.649799
0.251635,0.420060,-0.190165,896.385894,3.710959,-1.680010,38.623252,17.296836,-7.832506,172.141146
0.259471,0.449670,-0.203569,896.693828,3.846673,-1.741465,39.974030,17.343005,-7.853455,172.632958
0.267307,0.480345,-0.217457,897.012361,3.982756,-1.803088,41.328665,17.390936,-7.875201,173.125514
0.325141,0.739989,-0.335007,899.694061,5.000010,-2.263745,51.446511,17.805541,-8.063302,176.772071
0.358879,0.918879,-0.416000,901.530878,5.606312,-2.538316,57.453058,18.151025,-8.220067,179.375585
0.385224,1.072925,-0.485747,903.107104,6.089670,-2.757219,62.217993,18.566178,-8.408432,182.537476
0.406608,1.207418,-0.546642,904.479491,6.490553,-2.938779,66.149026,18.930556,-8.573863,185.113789
0.427992,1.350569,-0.611458,905.936533,6.899496,-3.123999,70.135094,19.321728,-8.751580,187.698586
0.432269,1.380254,-0.624899,906.238203,6.982253,-3.161484,70.938427,19.379297,-8.777788,187.973913
0.436546,1.410293,-0.638500,906.543310,7.065251,-3.199078,71.742854,19.434076,-8.802740,188.210370
0.440822,1.440687,-0.652263,906.851861,7.148486,-3.236779,72.548293,19.489914,-8.828179,188.447029
0.449376,1.502547,-0.680273,907.479308,7.315685,-3.312516,74.162206,19.604786,-8.880530,188.920121
0.457929,1.565842,-0.708932,908.120577,7.483886,-3.388708,75.780167,19.724060,-8.934912,189.393337
0.466483,1.630579,-0.738246,908.775703,7.653125,-3.465375,77.402175,19.847768,-8.991341,189.866676
0.498088,1.882491,-0.852315,911.317241,8.288267,-3.753133,83.430507,20.344851,-9.218363,191.616040
0.529692,2.154741,-0.975600,914.050177,8.940153,-4.048546,89.514127,20.907021,-9.475627,193.365419
0.561297,2.447891,-1.108358,916.976258,9.610864,-4.352584,95.653019,21.536322,-9.764260,195.113729
0.572267,2.554621,-1.156695,918.037294,9.848324,-4.460253,97.796005,21.757565,-9.865973,195.597366
0.583236,2.663970,-1.206219,919.121866,10.088236,-4.569049,99.944116,21.983290,-9.969866,196.048215
0.594206,2.775964,-1.256943,920.230029,10.330666,-4.679005,102.097170,22.216770,-10.077431,196.498443
0.622833,3.080938,-1.395080,923.233541,10.975903,-4.971756,107.739141,22.861544,-10.375045,197.670214
0.651461,3.404658,-1.541725,926.399046,11.640304,-5.273365,113.414597,23.555209,-10.696147,198.837948
0.673866,3.671448,-1.662595,928.990154,12.174503,-5.516004,117.879823,24.129283,-10.962632,199.749105
0.696271,3.950353,-1.788969,931.681534,12.721805,-5.764733,122.365253,24.725036,-11.239955,200.641332
0.718676,4.241669,-1.920986,934.473608,13.282398,-6.019662,126.868366,25.315738,-11.516042,201.327616
0.744160,4.588438,-2.078158,937.772165,13.936294,-6.317238,132.009200,26.004381,-11.839065,202.105124
0.769644,4.952110,-2.243027,941.202002,14.607857,-6.623119,137.169547,26.701737,-12.167623,202.881427
0.795128,5.333123,-2.415797,944.763598,15.297190,-6.937394,142.349640,27.397382,-12.497047,203.654488
0.820612,5.731927,-2.596683,948.457454,16.004118,-7.260025,147.549479,28.080715,-12.822566,204.432539
0.858317,6.355538,-2.879641,954.166281,17.081152,-7.752258,155.279210,29.041077,-13.284260,205.587403
0.896021,7.020416,-3.181476,960.167376,18.192659,-8.261177,163.052703,29.902530,-13.704546,206.755046
0.927400,7.606100,-3.447498,965.385846,19.140686,-8.696035,169.556086,30.512807,-14.008253,207.744534
0.952343,8.093029,-3.668768,969.679632,19.906787,-9.047998,174.747671,30.911398,-14.211646,208.547267
0.977285,8.599181,-3.898877,974.103159,20.681764,-9.404561,179.959418,31.221186,-14.375552,209.362668
0.998031,9.034969,-4.097081,977.881697,21.331287,-9.703819,184.308666,31.388150,-14.471000,209.933640
1.018777,9.484260,-4.301511,981.750570,21.983354,-10.004640,188.668440,31.462855,-14.524530,210.365754
1.039523,9.947092,-4.512192,985.709997,22.636265,-10.306250,193.037571,31.464236,-14.544639,210.807203
1.060269,10.423465,-4.729132,989.760168,23.288438,-10.607927,197.415864,31.392604,-14.531235,211.259787
1.086918,11.055214,-5.016980,995.096310,24.122694,-10.994430,203.053705,31.196940,-14.466018,211.856617
1.113568,11.709124,-5.315104,1000.582910,24.950253,-11.378505,208.707389,30.893908,-14.350507,212.467766
1.140218,12.384971,-5.623418,1006.220393,25.768510,-11.758918,214.377616,30.500837,-14.192088,213.091814
1.166867,13.082475,-5.941808,1012.009202,26.575359,-12.134655,220.064684,30.040558,-14.000698,213.717894
1.193517,13.801310,-6.270140,1017.949793,27.369385,-12.505002,225.768564,29.543028,-13.789637,214.344706
1.220166,14.541128,-6.608266,1024.042615,28.150031,-12.869631,231.489143,29.043054,-13.574557,214.970498
1.246816,15.301575,-6.956034,1030.288109,28.917712,-13.228652,237.226209,28.577200,-13.372075,215.583745
1.273465,16.082326,-7.313303,1036.686721,29.673965,-13.582691,242.980290,28.192834,-13.204041,216.249344
1.300115,16.883109,-7.679953,1043.238939,30.421633,-13.932978,248.754181,27.941763,-13.094641,217.087654
1.326765,17.703740,-8.055905,1049.945306,31.164370,-14.281125,254.549872,27.830863,-13.047330,217.904361
1.353414,18.544143,-8.441125,1056.806411,31.906325,-14.628988,260.367491,27.882662,-13.073173,218.696257
1.380064,19.404356,-8.835634,1063.822836,32.651977,-14.978593,266.206117,28.107917,-13.178020,219.461725
1.406713,20.284540,-9.239506,1070.995133,33.405897,-15.332035,272.064743,28.503018,-13.361267,220.201314
1.433363,21.184972,-9.652870,1078.323818,34.172348,-15.691297,277.942341,29.045967,-13.613913,220.894261
1.469293,22.431702,-10.225525,1088.453057,35.231436,-16.187685,285.894995,29.945436,-14.035613,221.768917
1.493347,23.287889,-10.618996,1095.394281,35.959389,-16.528913,291.235579,30.588344,-14.340171,222.267105
1.512177,23.970435,-10.932782,1100.917524,36.539269,-16.800810,295.418502,30.996276,-14.536237,221.987865
1.527829,24.546156,-11.197535,1105.568593,37.027021,-17.029591,298.891865,31.310981,-14.689532,221.749572
1.543481,25.129551,-11.465887,1110.274009,37.519353,-17.260623,302.360852,31.590929,-14.828198,221.511565
1.559133,25.720684,-11.737872,1115.033695,38.015680,-17.493658,305.825837,31.825003,-14.947034,221.276853
1.574785,26.319612,-12.013518,1119.847583,38.515258,-17.728372,309.287274,32.003448,-15.041413,221.047085
1.590437,26.926376,-12.292847,1124.715600,39.016833,-17.964201,312.742888,32.074226,-15.086751,220.499729
1.606089,27.540995,-12.575870,1129.637625,39.518687,-18.200361,316.187832,32.028259,-15.078552,219.610499
1.621741,28.163461,-12.862588,1134.613466,40.019146,-18.436084,319.618039,31.894459,-15.030135,218.609613
1.637393,28.793741,-13.152989,1139.642875,40.516841,-18.670741,323.031812,31.685071,-14.946945,217.580858
1.654755,29.501944,-13.479391,1145.283994,41.064791,-18.929383,326.802536,31.429300,-14.844181,216.847260
1.672116,30.219617,-13.810267,1150.990464,41.607695,-19.185957,330.560903,31.115149,-14.714051,216.227916
1.685687,30.787136,-14.071993,1155.496430,42.027828,-19.384731,333.490426,30.796987,-14.577826,215.522080
1.688104,30.888789,-14.118880,1156.302961,42.102138,-19.419909,334.010796,30.705694,-14.537154,215.163664
1.690520,30.990621,-14.165852,1157.110748,42.176174,-19.454963,334.529906,30.567498,-14.474289,214.463537
1.692937,31.092632,-14.212908,1157.919789,42.249945,-19.489898,335.047852,30.474508,-14.432769,214.103707
1.695354,31.194820,-14.260049,1158.730080,42.323476,-19.524725,335.564812,30.380808,-14.390889,213.743728
1.700187,31.399730,-14.354583,1160.354405,42.469832,-19.594064,336.595962,30.191484,-14.306145,213.023194
1.705020,31.605344,-14.449450,1161.983705,42.615274,-19.662993,337.623666,29.999960,-14.220251,212.301854
1.709853,31.811659,-14.544650,1163.617962,42.759671,-19.731450,338.647032,29.759715,-14.111182,211.229160
1.714686,32.018669,-14.640179,1165.257155,42.903057,-19.799451,339.666352,29.564969,-14.023507,210.503893
1.721598,32.315927,-14.777370,1167.610018,43.106797,-19.896112,341.120402,29.358262,-13.931867,210.010714
1.728511,32.614586,-14.915227,1169.972912,43.308952,-19.992065,342.569882,29.131495,-13.830434,209.368320
1.735423,32.914637,-15.053744,1172.345813,43.509693,-20.087388,344.016033,28.939230,-13.745027,208.976662
1.743087,33.248963,-15.208106,1174.988661,43.730673,-20.192369,345.615905,28.721159,-13.647622,208.483428
1.750752,33.584976,-15.363269,1177.643757,43.949996,-20.296607,347.211938,28.507299,-13.551774,207.985395
1.758416,33.922663,-15.519229,1180.311071,44.167704,-20.400120,348.804120,28.299401,-13.458292,207.482237
1.775561,34.684045,-15.870952,1186.321672,44.649129,-20.629161,352.351537,27.863436,-13.261242,206.337015
1.792706,35.453624,-16.226576,1192.392911,45.123149,-20.854837,355.876187,27.441367,-13.068293,204.852789
1.805882,36.050546,-16.502492,1197.099705,45.482634,-21.026065,358.565938,27.129271,-12.924115,203.423289
1.819058,36.652181,-16.780654,1201.841833,45.838492,-21.195614,361.238246,26.884594,-12.810552,202.138436
1.832234,37.258486,-17.061041,1206.619074,46.191595,-21.363881,363.894706,26.716730,-12.732219,201.051275
1.845410,37.869430,-17.343639,1211.431216,46.542759,-21.531238,366.536370,26.599244,-12.676748,199.953757
1.857429,38.430730,-17.603330,1215.850879,46.862075,-21.683417,368.933335,26.534071,-12.645391,198.940979
1.869448,38.995864,-17.864848,1220.299259,47.180892,-21.835350,371.318137,26.506445,-12.631391,197.919148
1.878661,39.431687,-18.066562,1223.728735,47.425170,-21.951754,373.137999,26.508993,-12.631710,197.130712
1.887874,39.869761,-18.269349,1227.174946,47.669548,-22.068196,374.950580,26.529479,-12.640474,196.337498
1.897088,40.310088,-18.473210,1230.637824,47.914178,-22.184750,376.755824,26.565208,-12.656505,195.538273
1.910411,40.950823,-18.769908,1235.674760,48.268554,-22.353577,379.353311,26.635221,-12.688419,194.377146
1.923734,41.596285,-19.068859,1240.746216,48.624007,-22.522902,381.935291,26.730783,-12.733183,193.209202
1.937058,42.246493,-19.370070,1245.851966,48.980769,-22.692846,384.501661,26.832430,-12.781701,192.034664
1.950381,42.901463,-19.673549,1250.991809,49.339083,-22.863537,387.053932,26.958116,-12.842757,191.073296
1.965495,43.650271,-20.020584,1256.863631,49.747452,-23.058104,389.933677,27.086634,-12.906870,190.019272
1.980610,44.405263,-20.370566,1262.778856,50.157524,-23.253538,392.797500,27.181014,-12.956528,188.967614
1.995724,45.166461,-20.723506,1268.737239,50.568613,-23.449542,395.644890,27.217295,-12.980363,187.836109
2.010838,45.933874,-21.079410,1274.738536,50.979984,-23.645792,398.476248,27.210585,-12.985521,186.808697
2.025952,46.707502,-21.438280,1280.782510,51.390782,-23.841908,401.291992,27.141758,-12.962710,185.789822
2.041067,47.487327,-21.800110,1286.868925,51.800064,-24.037462,404.092370,27.008285,-12.910455,184.777539
2.056181,48.273321,-22.164889,1292.997550,52.206868,-24.232015,406.877535,26.812255,-12.829391,183.774079
2.074969,49.258885,-22.622410,1300.674239,52.707700,-24.471813,410.318392,26.486203,-12.690141,182.513042
2.093756,50.253801,-23.084413,1308.415352,53.201720,-24.708672,413.735714,26.089333,-12.517182,181.262389
2.112544,51.257928,-23.550834,1316.220449,53.687785,-24.942037,417.129525,25.646594,-12.321511,180.013946
2.131332,52.271105,-24.021604,1324.089086,54.165278,-25.171591,420.499664,25.184646,-12.115032,178.743479
2.150120,53.293178,-24.496653,1332.020863,54.634677,-25.397526,423.849787,24.793186,-11.940095,177.897009
2.168908,54.324002,-24.975916,1340.015431,55.097279,-25.620417,427.185612,24.476149,-11.798181,177.300921
2.187695,55.363459,-25.459341,1348.072534,55.554506,-25.840893,430.510350,24.221060,-11.683117,176.690809
2.206483,56.411465,-25.946890,1356.191991,56.007756,-26.059572,433.824270,24.043768,-11.602596,176.064666
2.225271,57.467963,-26.438536,1364.373619,56.458498,-26.277110,437.126488,23.951870,-11.560626,175.421527
2.244059,58.532919,-26.934264,1372.617191,56.908287,-26.494212,440.416280,23.943961,-11.557129,174.761367
2.262847,59.606328,-27.434073,1380.922453,57.358623,-26.711571,443.693335,24.009978,-11.588043,174.085863
2.289073,61.118933,-28.138624,1392.618881,57.990420,-27.016475,448.246302,24.192090,-11.674162,173.122119
2.309003,62.279480,-28.679378,1401.586645,58.474218,-27.249931,451.689153,24.364523,-11.757067,172.380043
2.328933,63.449702,-29.224800,1410.622873,58.961490,-27.485075,455.117170,24.530935,-11.838974,171.629049
2.348863,64.629667,-29.774925,1419.727274,59.451801,-27.721741,458.530279,24.662453,-11.906591,170.883267
2.368792,65.819428,-30.329780,1428.899551,59.944178,-27.959515,461.928568,24.733936,-11.948098,170.145359
2.388722,67.019012,-30.889379,1438.139409,60.437236,-28.197786,465.312220,24.728196,-11.955151,169.416084
2.408652,68.228417,-31.453726,1447.446557,60.929348,-28.435822,468.681451,24.638261,-11.923993,168.697677
2.428581,69.447607,-32.022809,1456.820711,61.418850,-28.672860,472.036485,24.467558,-11.855594,167.990907
2.448511,70.676515,-32.596601,1466.261590,61.904237,-28.908202,475.377500,24.228570,-11.755101,167.290214
2.473369,72.222799,-33.318826,1478.130225,62.502153,-29.198536,479.524942,23.863488,-11.597186,166.397308
2.493295,73.472903,-33.902915,1487.717973,62.974597,-29.428281,482.833590,23.555072,-11.461675,165.702561
2.513220,74.732355,-34.491553,1497.371463,63.440441,-29.655087,486.124572,23.207444,-11.305124,164.613632
2.533146,76.001024,-35.084680,1507.090335,63.899765,-29.878946,489.394377,22.897670,-11.164385,163.513188
2.553071,77.278789,-35.682244,1516.874151,64.353477,-30.100406,492.641513,22.656134,-11.070772,162.395489
2.572997,78.565550,-36.284204,1526.722439,64.803021,-30.320337,495.865825,22.487971,-11.018443,161.259996
2.592922,79.861235,-36.890534,1536.634735,65.249890,-30.539496,499.067383,22.385956,-10.990839,160.109420
2.606475,80.747622,-37.305445,1543.413289,65.552118,-30.687953,501.225426,22.213641,-10.915834,158.307841
2.620028,81.638086,-37.722359,1550.220888,65.851146,-30.834938,503.351403,21.881736,-10.757244,155.160868
2.630175,82.307358,-38.035773,1555.336021,66.072054,-30.943539,504.914539,21.642205,-10.638914,152.798709
2.640321,82.978859,-38.350283,1560.466893,66.290413,-31.050864,506.452619,21.407228,-10.519602,150.431393
2.650467,83.652562,-38.665875,1565.613237,66.506385,-31.156961,507.966555,21.177005,-10.399661,148.082762
2.660614,84.328443,-38.982537,1570.774808,66.720004,-31.261820,509.456543,20.935847,-10.271761,145.658419
2.670760,85.006479,-39.300256,1575.951377,66.931271,-31.365415,510.922756,20.705311,-10.146755,143.340184
2.691027,86.367202,-39.938008,1586.335431,67.345890,-31.568325,513.779578,20.208338,-9.874440,138.595929
2.711295,87.736221,-40.579813,1596.776411,67.749865,-31.765409,516.539250,19.654511,-9.571437,133.742073
2.731562,89.113313,-41.225551,1607.272356,68.142272,-31.956194,519.201936,19.061135,-9.250398,128.989040
2.747573,90.206765,-41.738378,1615.601726,68.443451,-32.102180,521.237349,18.554887,-8.982011,125.258422
2.763584,91.304972,-42.253508,1623.963197,68.736129,-32.243709,523.211986,17.999360,-8.694566,121.416731
